 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        892640      160710976  [B (java.base@11.0.9.1)
   2:         69166       38547376  [I (java.base@11.0.9.1)
   3:        842983       20231592  java.lang.String (java.base@11.0.9.1)
   4:        160990       12362776  [Ljava.lang.Object; (java.base@11.0.9.1)
   5:         12736        9923392  [C (java.base@11.0.9.1)
   6:         60795        7115768  java.lang.Class (java.base@11.0.9.1)
   7:        209191        6694112  com.intellij.util.containers.IntObjectLRUMap$MapEntry
   8:        150318        6012720  java.util.LinkedHashMap$Entry (java.base@11.0.9.1)
   9:        147463        4718816  java.util.HashMap$Node (java.base@11.0.9.1)
  10:         27917        4084888  [Ljava.util.HashMap$Node; (java.base@11.0.9.1)
  11:        120563        3858016  java.util.concurrent.ConcurrentHashMap$Node (java.base@11.0.9.1)
  12:          6351        3464552  [D (java.base@11.0.9.1)
  13:         65792        2631680  com.intellij.util.containers.hash.LinkedHashMap$Entry
  14:         55866        1787712  java.util.Hashtable$Entry (java.base@11.0.9.1)
  15:         17534        1571152  [J (java.base@11.0.9.1)
  16:          7604        1547312  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@11.0.9.1)
  17:         58740        1409760  java.util.ArrayList (java.base@11.0.9.1)
  18:         35074        1402960  com.intellij.psi.impl.source.xml.XmlTokenImpl
  19:         34449        1377960  org.jdom.Attribute
  20:         20057        1283648  java.net.URL (java.base@11.0.9.1)
  21:         12588        1107744  java.lang.reflect.Method (java.base@11.0.9.1)
  22:         21506        1032288  java.util.HashMap (java.base@11.0.9.1)
  23:         22243         889720  com.intellij.reference.SoftReference
  24:          7638         855456  com.jetbrains.jdi.ClassTypeImpl
  25:            26         852384  [Ljava.util.concurrent.ForkJoinTask; (java.base@11.0.9.1)
  26:          4073         847184  sun.java2d.SunGraphics2D (java.desktop@11.0.9.1)
  27:         20545         821800  java.lang.ref.SoftReference (java.base@11.0.9.1)
  28:         24809         793888  java.lang.ref.WeakReference (java.base@11.0.9.1)
  29:         19154         766160  java.security.ProtectionDomain (java.base@11.0.9.1)
  30:         19144         765760  java.security.CodeSource (java.base@11.0.9.1)
  31:         11770         753280  java.util.concurrent.ConcurrentHashMap (java.base@11.0.9.1)
  32:         18773         750920  com.intellij.psi.impl.source.tree.PsiWhiteSpaceImpl
  33:         46810         748960  java.lang.Object (java.base@11.0.9.1)
  34:         14659         703632  com.intellij.psi.impl.java.stubs.impl.PsiMethodStubImpl
  35:         12256         686336  java.util.LinkedHashMap (java.base@11.0.9.1)
  36:         26647         673776  [Ljava.lang.Class; (java.base@11.0.9.1)
  37:         27538         660912  com.intellij.util.SmartList
  38:         13395         642960  java.lang.invoke.MemberName (java.base@11.0.9.1)
  39:          8689         625608  java.awt.geom.AffineTransform (java.desktop@11.0.9.1)
  40:         25535         612840  com.intellij.psi.impl.cache.TypeInfo
  41:          2067         596824  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  42:         14824         592960  org.jdom.ContentList
  43:         14823         592920  org.jdom.Element
  44:         14173         566920  com.intellij.util.containers.ConcurrentWeakKeySoftValueHashMap$WeakKey
  45:          4439         541984  [Ljava.util.Hashtable$Entry; (java.base@11.0.9.1)
  46:         16564         530048  sun.nio.fs.UnixPath (java.base@11.0.9.1)
  47:          9455         529480  com.intellij.openapi.actionSystem.Presentation
  48:         13107         524280  java.util.WeakHashMap$Entry (java.base@11.0.9.1)
  49:          6702         482544  java.lang.reflect.Field (java.base@11.0.9.1)
  50:         14893         476576  java.awt.Rectangle (java.desktop@11.0.9.1)
  51:         11796         471840  com.intellij.util.containers.WeakHashMap$WeakKey
  52:         11688         467520  java.lang.invoke.MethodType (java.base@11.0.9.1)
  53:         12387         455152  [Lorg.jdom.Attribute;
  54:         12998         438832  [Ljava.lang.String; (java.base@11.0.9.1)
  55:          8880         426240  com.intellij.util.containers.ConcurrentIntKeySoftValueHashMap$MyRef
  56:         10631         425240  java.security.AccessControlContext (java.base@11.0.9.1)
  57:         12864         411648  org.jdom.AttributeList
  58:          9846         393840  com.intellij.ui.JBColor
  59:         16289         390936  java.awt.AWTEventMulticaster (java.desktop@11.0.9.1)
  60:            33         388624  [Lcom.intellij.util.containers.IntObjectLRUMap$MapEntry;
  61:         11774         376768  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@11.0.9.1)
  62:         15200         364800  com.intellij.openapi.util.Pair
  63:         11267         360544  com.intellij.util.containers.ConcurrentIntObjectHashMap$Node
  64:          1015         357280  javax.swing.JPanel (java.desktop@11.0.9.1)
  65:          7270         348960  com.intellij.psi.impl.java.stubs.impl.PsiFieldStubImpl
  66:         10351         331232  com.intellij.util.containers.ConcurrentWeakKeyWeakValueHashMap$WeakValue
  67:          4579         329688  com.intellij.psi.impl.source.xml.XmlTextImpl
  68:         10298         329536  com.intellij.util.indexing.impl.ChangeTrackingValueContainer
  69:         13553         325272  com.intellij.util.CachedValueBase$Data
  70:         13550         325200  java.lang.Double (java.base@11.0.9.1)
  71:         19981         319696  java.lang.Integer (java.base@11.0.9.1)
  72:          7963         318520  org.jetbrains.plugins.textmate.language.syntax.SyntaxNodeDescriptorImpl
  73:          9852         315264  com.intellij.psi.impl.PsiCachedValueImpl
  74:         19154         306464  [Ljava.security.Principal; (java.base@11.0.9.1)
  75:         19154         306464  java.security.ProtectionDomain$Key (java.base@11.0.9.1)
  76:          2126         306024  [Ljava.lang.ClassValue$Entry; (java.base@11.0.9.1)
  77:          7591         303640  java.util.EnumMap (java.base@11.0.9.1)
  78:          3236         303328  [Ljava.util.WeakHashMap$Entry; (java.base@11.0.9.1)
  79:          6309         302832  com.intellij.psi.impl.source.HierarchicalMethodSignatureImpl
  80:         11979         298504  [Lcom.intellij.psi.PsiType;
  81:           738         295200  com.intellij.openapi.actionSystem.impl.ActionToolbarImpl$4
  82:         12160         291840  java.lang.invoke.ResolvedMethodName (java.base@11.0.9.1)
  83:          8674         277568  java.lang.invoke.DirectMethodHandle (java.base@11.0.9.1)
  84:          3407         272560  java.lang.reflect.Constructor (java.base@11.0.9.1)
  85:          8039         257248  java.lang.invoke.LambdaForm$Name (java.base@11.0.9.1)
  86:          5357         257136  gnu.trove.TIntObjectHashMap
  87:          5281         253488  java.nio.HeapByteBuffer (java.base@11.0.9.1)
  88:          6263         250520  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter
  89:         10299         247176  com.intellij.util.indexing.impl.MapIndexStorage$3$1
  90:         10288         246912  com.intellij.util.indexing.impl.ValueContainerImpl
  91:         10174         244176  java.lang.Long (java.base@11.0.9.1)
  92:          7550         241600  javax.swing.text.html.StyleSheet$SmallConversionSet (java.desktop@11.0.9.1)
  93:          7528         240896  javax.swing.SizeRequirements (java.desktop@11.0.9.1)
  94:          6008         240320  com.intellij.psi.impl.java.stubs.impl.PsiModifierListStubImpl
  95:          7428         237696  com.intellij.openapi.util.ObjectNode
  96:          1312         230664  [F (java.base@11.0.9.1)
  97:          5764         230560  com.intellij.psi.util.MethodSignatureBackedByPsiMethod
  98:          4706         225888  java.awt.geom.Rectangle2D$Double (java.desktop@11.0.9.1)
  99:          9351         224424  com.intellij.psi.util.CachedValuesManager$1
 100:          6991         221112  [Ljava.security.ProtectionDomain; (java.base@11.0.9.1)
 101:          5478         219120  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$1
 102:          5472         218880  com.intellij.codeInspection.ex.ScopeToolState
 103:          4395         210960  java.util.Hashtable (java.base@11.0.9.1)
 104:          4394         210912  javax.swing.text.html.HTMLDocument$BlockElement (java.desktop@11.0.9.1)
